station_no,station,glatos_array,site,habitat_type,cluster
78,BBW-078,BBW,Billy Bishop W,Exposed/Low SAV,4
37,CE3-037,CE3,Cell 3,Deep/Low SAV,2
32,EAG-032,EAG,S Eastern Gap,Deep/Low SAV,2
31,EAG-031,EAG,N Eastern Gap,Deep/Low SAV,2
15,GAT-015,GAT,Curtain,Exposed/Low SAV,4
21,GAT-021,GAT,Curtain,Exposed/Low SAV,4
18,GAT-018,GAT,Curtain,Exposed/Low SAV,4
17,GAT-017,GAT,Curtain,Exposed/Low SAV,4
62,JAS-062,JAS,Jarvis,Deep/Low SAV,2
51,MWF-051,MWF,Middle Waterfront,Deep/Low SAV,2
47,TOI-047,TOI,TI 47,Mod/Dense SAV,3
29,WEG-029,WEG,E Western Gap,Deep/Low SAV,4
28,WEG-028,WEG,W Western Gap,Deep/Low SAV,4
