Station.Group,Code
Ashbridges,
Billy Bishop W,BBW
Billy Bishop E,
Cell 1,CE1
Cell 2,CE2
Cell 3,CE3
Cherry Beach,CHB
Cherry Beach 2b,CH2?
Curtain,GAT
Don River,DOR
Don River Mouth,DRM
E Western Gap,EWG
Embayment A,EMA
Embayment B,EMB
Embayment C,EMC
Embayment D,EMD
Exhibition Grounds,EXG
Fire Dock,FDS
Jarvis,JAS
Lake Ontario,LKO or WLO
Middle Waterfront,MWF
N Eastern Gap,NEG
Outer Harbour Marina,OHM
Outside Emb C,OEC
Parliament,PAS
Peterslip,
Powerplant,
S Eastern Gap,SEG
Spadina ,SPS
TI 40,TI40
TI 41,TI41
TI 42,TI42
TI 43,TI43
TI 44,TI44
TI 45,TI45
TI 46,TI46
TI 47,TI47
Toronto Islands 27,TI27
Turning Basin,TUB
W Western Gap,WWG
